"Actions","Thao tác"
"An error occurred while marking notification as read.","Đã xảy ra lỗi khi đánh dấu thông báo đã đọc."
"An error occurred while marking the messages as read.","Đã xảy ra lỗi khi đánh dấu thông báo đã đọc."
"An error occurred while removing messages.","Đã xảy ra lỗi khi xóa tin nhắn."
"An error occurred while removing the message.","Đã xảy ra lỗi khi xóa tin nhắn."
"Are you sure?","Bạn chắc chắn chứ?"
"Date Added","Ngày thêm vào"
"Last Update","Cập nhật lần cuối"
"Mark as Read","Đánh dấu đã đọc"
"Mark as read","Đánh dấu đã đọc"
"Message","Tin nhắn"
"Messages Inbox","Hộp thư"
"Notifications","Thông báo"
"Please select messages.","Hãy chọn tin nhắn."
"Read Details","Đọc chi tiết"
"Remove","Xóa"
"Severity","Nghiêm trọng"
"Show List","Hiện danh sách"
"Show Toolbar","Hiện thanh công cụ"
"The message has been marked as read.","Tin nhắn được đánh dấu đã đọc."
"The message has been removed.","Tin nhắn đã xóa."
"Total of %d record(s) have been marked as read.","Tổng số %d được đánh dấu đã đọc."
"Total of %d record(s) have been removed.","Tổng số %d đã xóa."
"Unable to proceed. Please, try again.","Không thể thực hiện. Hãy thử lại."
"Update Frequency","Tần suất cập nhật"
"Use HTTPS to Get Feed","Sử dụng HTTPS để nhận nguồn cấp dữ liệu"
"Wrong message type","Sai mẫu tin nhắn"
"critical","ưu tiên"
"major","quan trọng"
"minor","không quan trọng"
"notice","thông báo"
