" The customer does not exist in the system anymore."," Khách hàng không tồn tại trong hệ thống."
" [deleted]"," [Đã xóa]"
" and "," Và "
"Import","Nhập vào"
"View","Xem"
"%s (Default Template from Locale)","%s (Mẫu Mặc Định theo Quốc Gia)"
"%s cache type(s) disabled.","%s dạng bộ nhớ đệm đã bị vô hiệu."
"%s cache type(s) enabled.","%s kiểu bộ nhớ đệm được kích hoạt."
"%s cache type(s) refreshed.","%s kiểu bộ nhớ đệm được làm mới."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Để trống cho bảng tính đầu tiên)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Sản phẩm sẽ được thêm vào/cập nhật tại cửa hàng này nếu cột 'của hàng' để trống hoặc thiếu tập tin được nhập vào.)"
"(Shift-)Click or drag to change value"," Giữ(Shift-)nhấp chuột hoặc kéo để thay đổi giá trị"
"(Starting with)","(Bắt đầu bằng)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Nếu chọn 'Không', chỉ những trường trùng lặp tương ứng được nhập vào. Khi đối chiếu dữ liệu, sử dụng 'column1', 'column2',... )"
"(You have to increase php memory_limit before changing this value)","(Bạn phải tăng kích thước bộ nhớ trong PHP trước khi thay đổi giá trị này)"
"(\\t for tab)","(\\t với tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Nếu mục này đã tồn tại trong tiến trình, nó phải được hủy và bắt đầu một tiến trình mới."
"* Required Fields","* Các trường bắt buộc"
"- Click on any of the time parts to increase it","- Click bất kì nút nào để tăng lên"
"- Hold mouse button on any of the above buttons for faster selection.","- Giữ chuột với bất kì phím nào để chọn nhanh hơn."
"- Use the %s, %s buttons to select month","- Dùng phím %s, %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Dùng phím %s, %s để chọn năm"
