"Access denied.","Truy cập bị từ chối."
"Can not find webservice adapter.","Không thể tìm thấy bộ chuyển đổi dịch vụ Web."
"Client Session Timeout (sec.)","Phiên của khách hàng đã hết thời gian chờ(giây.)"
"Default Response Charset","Phản hồi Charset mặc định"
"Email","Email"
"Enable WSDL Cache","Kích hoạt WSDL Cache"
"General Settings","Cài đặt chung"
"Invalid webservice adapter specified.","Bộ chuyển đổi dịch vụ Web không đúng."
"Invalid webservice handler specified.","Bộ sử dụng dịch vụ Web không đúng."
"Magento Core API","Lõi Magento API"
"Magento Core API Section","Khu vực lõi Magento API"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Vai trò"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Người sử dụng"
"Unable to login.","Không thể đăng nhập."
"User Name","Tên đăng nhập"
"WS-I Compliance","Tính tuân thủ WS-I"
"Web Services","Dịch vụ Web"
"Your account has been deactivated.","Tài khoản của bạn đã bị vô hiệu hóa."
