"--Please Select--","--Please Select--"
"API Login ID","ID đăng nhập API"
"Accepted Currency","Chấp nhận ngoại tệ"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Số tiền của %s được cổng thanh toán phê duyệt. ID giao dịch: ""%s""."
"Authorize.net Direct Post","Authorize.net Bài viết trực tiếp"
"Card Verification Number","Số xác minh thẻ"
"Card Verification Number Visual Reference","Hình ảnh tham khảo số xác minh thẻ"
"Close","Đóng"
"Credit Card Information","Thông tin thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Types","Loại thẻ tín dụng"
"Credit Card Verification","Xác minh thẻ tín dụng"
"Debug","Khắc phục lỗi"
"Email Customer","Email khách hàng"
"Enabled","Bật"
"Expiration Date","Ngày hết hạn"
"Gateway URL","Cổng URL"
"Maximum Order Total","Tổng số đơn hàng tối đa"
"Merchant MD5","Người bán MD5"
"Merchant's Email","Email người bán"
"Minimum Order Total","Tổng số đơn hàng tối thiểu"
"New Order Status","Tình trạng đơn hàng mới"
"Order saving error: %s","Lỗi lưu đơn hàng: %s"
"Payment Action","Hoạt động thanh toán"
"Payment authorization error.","Lỗi ủy quyền thanh toán."
"Payment authorization error. Transacion id is empty.","Lỗi ủy quyền thanh toán. ID giao dịch trống."
"Payment error. Order was not found.","Lỗi thanh toán. Không tìm thấy đơn hàng."
"Payment error. Paid amount doesn\'t match the order amount.","Lỗi thanh toàn. Số tiền phải trả không khớp với số tiền trong đơn hàng."
"Payment from Applicable Countries","Thanh toán từ các quốc gia khả dụng"
"Payment from Specific Countries","Thanh toán từ các quốc gia cụ thể"
"Please, choose payment method","Vui lòng chọn phương pháp thanh toán"
"Response hash validation failed. Transaction declined.","Chuỗi xác nhận thất bại. Giao dịch bị từ chối."
"Sort Order","Sắp xếp đơn hàng"
"Test Mode","Chế độ kiểm tra"
"The order has been created.","Đơn hàng đã được tạo."
"There was an error processing your order. Please contact us or try again later.","Đã xảy ra lỗi trong quá trình thực hiện đơn hàng của bạn. Vui lòng liên hệ lại với chúng tôi sau."
"Title","Tiêu đề"
"Transaction Key","Mã giao dịch"
"What is this?","Đây là gì?"
"You will be required to enter your payment details before you place an order.","Bạn được yêu cầu nhập chi tiết thanh toán trước khi đặt hàng."
