"Action","Thao tác"
"An error occurred while creating the backup.","Xảy ra lỗi khi tạo bản sao lưu."
"An error occurred while writing to the backup file ""%s"".","Xảy ra lỗi khi viết lên dữ liệu sao lưu ""%s""."
"Are you sure you want to delete the selected backup(s)?","Bạn có chắc chắn muốn xóa bản sao lưu đã chọn?"
"Backup Type","Loại sao lưu"
"Backup file ""%s"" cannot be read from or written to.","Thư mục sao lưu ""%s"" không thể đọc hoặc viết lên."
"Backup file ""%s"" does not exist.","Thư mục sao lưu ""%s"" không tồn tại."
"Backup file does not exist.","Thư mục sao lưu không tồn tại."
"Backup file handler was unspecified.","Xử lý thư mục sao lưu không xác định."
"Backup file not found","Không tìm thấy thư mục sao lưu"
"Backup file path was not specified.","Đường dẫn của thư mục sao lưu không xác định."
"Backups","Bản sao lưu"
"Cannot read backup file.","Không thể đọc thư mục sao lưu."
"Create Backup","Tạo bản sao lưu"
"Database","Dữ liệu"
"Database Backup","Sao lưu dữ liệu"
"Database and Media","Dữ liệu và phương tiện"
"Database and Media Backup","Sao lưu dữ liệu và phương tiện"
"Database was successfuly backed up.","Dữ liệu đã sao lưu thành công."
"Download","Tải xuống"
"Enable Scheduled Backup","Kích hoạt tính năng sao lưu theo lịch trình"
"Failed to connect to FTP","Không thể kết nối với FTP"
"Failed to delete one or several backups.","Không thể xóa một hay nhiều bản sao lưu."
"Failed to rollback","Không thể phục hồi"
"Failed to validate FTP","FTP không thể xác nhận hợp lệ"
"Frequency","Tần suất"
"Invalid Password.","Mật khẩu không đúng."
"Maintenance Mode","Chế độ bảo trì"
"Name","Tên"
"Not enough free space to create backup.","Không đủ bộ nhớ trông để tạo bản sao lưu."
"Not enough permissions to create backup.","Không đủ quyền để tạo bản sao lưu."
"Not enough permissions to perform rollback","Không đủ quyền để thực hiện phục hồi"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Vui lòng không chọn ""Thiết lập cửa hàng ở chế độ bảo trì" hoặc kiểm tra, cập nhật quyền hạn để tiến hành sao lưu."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Vui lòng không chọn ""Thiết lập cửa hàng ở chế độ bảo trì" hoặc kiểm tra, cập nhật quyền hạn để tiến hành phục hồi."""
"Put store on the maintenance mode while backup's creation","Thiết lập cửa hàng ở chế độ bảo trì trong quá trình sao lưu"
"Rollback","Phục hồi"
"Scheduled Backup Settings","Cài đặt sao lưu theo lịch trình"
"Size, Bytes","Kích cỡ, Dung lượng"
"Start Time","Thời gian bắt đầu"
"System","Hệ thống"
"System (excluding Media)","Hệ thống (không bao gồm Phương tiện)"
"System Backup","Hệ thống sao lưu"
"System couldn't put store on the maintenance mode","Hệ thống không thể thiết lập cửa hàng ở chế độ bảo trì."
"The database and media backup has been created.","Dữ liệu và phương tiện sao lưu đã được khởi tạo."
"The database backup has been created.","Dữ liệu sao lưu đã được tạo."
"The file was compressed with Zlib, but this extension is not installed on server.","Các tập tin được nén bằng Zlib, nhưng phần mở rộng này không được cài đặt trên máy chủ."
"The selected backup(s) has been deleted.","Bản sao lưu đã chọn đã bị xóa."
"The system (excluding Media) backup has been created.","Hệ thống sao lưu (không bao gồm Phương tiện) đã được tạo."
"The system backup has been created.","Hệ thống sao lưu đã được tạo."
"Time","Thời gian"
"Type","Loại"
"Unable to create backup. Please, try again later.","Không thể sao lưu. Hãy thử lại sau."
"Unable to save the cron expression.","Không thể lưu the cron expression."
"Wrong order of creation for new backup.","Sai thứ tự khởi tạo bản sao lưu mới."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Bạn không có đủ quyền kích hoạt chế độ bảo trì trong quá trình hoạt động này."
