"%1$s incl tax.","%1$s bao gồm thuế."
"* Required Fields","* Mục yêu cầu"
"-- Select --","-- Chọn --"
"Add New Option","Thêm lựa chọn mới"
"Add Selection","Thêm lựa chọn"
"As Low as","Thấp như"
"As low as","Thấp như"
"Bundle Items","Sản phẩm kết hợp"
"Bundle Product","Sản phẩm kết hợp"
"Buy %1$s","Mua %1$s"
"Buy %1$s for","Mua %1$s được"
"Buy %1$s for %2$s","Mua %1$s được %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua %1$s được %2$s (%3$s bao gồm thuế) với mỗi loại"
"Buy %1$s for %2$s each","Mua %1$s được %2$s mỗi loại"
"Buy %1$s with %2$s discount each","Mua %1$s được %2$s chiết khấu mỗi loại"
"Catalog Product View (Bundle)","Xem danh mục sản phẩm(Đi kèm)"
"Checkbox","Hộp kiểm tra"
"Choose a selection...","Lựa chọn..."
"Click for price","Click xem giá"
"Close","Đóng"
"Default","Mặc định"
"Default Qty","Số lượng mặc định"
"Default Title","Tiêu đề mặc định"
"Drop-down","Drop-down"
"Dynamic","Dynamic"
"Excl. Tax","Không bao gồm thuế"
"Excl. Tax:","Không bao gồm thuế:"
"Fixed","Cố định"
"From","Từ"
"From:","Từ:"
"Gift Message","Tin nhắn quà tặng"
"Incl. Tax","Bao gồm thuế"
"Incl. Tax:","Bao gồm thuế:"
"Input Type","Loại đầu vào"
"Is Required","Bắt buộc"
"Message:","Tin nhắn:"
"Multiple Select","Nhiều lựa chọn"
"N/A","Không có câu trả lời"
"No options of this product are available.","Không có lựa chọn nào cho sản phẩm này."
"None","Không có"
"Percent","Phần trăm"
"Percent Discount","Phần trăm chiết khấu"
"Please Select Products to Add","Hãy lựa chọn sản phẩm để thêm vào"
"Please enter a number greater 0 in this field.","Hãy nhập một số lớn hơn 0 ở mục này."
"Please enter search conditions to view products.","Hãy nhập yêu cầu tìm kiếm để xem sản phẩm này."
"Please select options for product.","Hãy lựa chọn các tùy chọn cho sản phẩm này ."
"Please specify product option(s).","Hãy xác định lựa chọn cho sản phẩm."
"Position","Vị trí"
"Price Range","Khoảng giá"
"Price Type","Loại giá"
"Price as configured","Giá như cấu hình"
"Qty:","Số lượng:"
"Radio Buttons","Radio Buttons"
"Required options are not selected.","Chưa chọn các tùy chọn bắt buộc."
"SKU","SKU"
"Selected required options are not available.","Tùy chọn cần lựa chọn không có sẵn."
"Separately","Riêng biệt"
"Ship Bundle Items","Vận chuyển nhiều mặt hàng"
"Shipment","Vận chuyển"
"Store View Title","Xem tiêu đề cửa hàng"
"There is no defined renderer for ""%s"" option type.","Không có định nghĩa renderer cho loại lựa chọn ""%s""."
"This product is also part of bundle(s)","Sản phẩm này là một phần của gói "
"To","Đến"
"To:","Đến:"
"Together","Cùng với"
"Total incl. Tax: %1$s","Tổng số bao gồm thuế: %1$s"
"Use Default Value","Sử dụng giá trị mặc định"
"User Defined Qty","Số lượng người dùng xác định"
"and","và"
"each","mỗi"
"save","lưu"
