"# of Use","# of Use"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","%s (các) sản phẩm"
"%s and above","%s và ở trên"
"%s-%s of %s","%s-%s của %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Sao chép dữ liệu từ: %s)"
"* Required Fields","* Những trường bắt buộc"
"-- Please Select --","-- Hãy lựa chọn --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 mặc định, nếu không cài đặt. Để tải lại ngay, xóa bộ nhớ đệm các thẻ đầu ra các khối HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Cảnh báo!</strong> Áp dụng MAP mặc định sẽ làm ẩn giá tất cả sản phẩm trên trang."
"A group with the same name already exists.","Đã tồn tại một nhóm cùng tên."
"A name is required","Tên là trường bắt buộc"
"A product type is not defined for the indexer.","Một loại sản phẩm không được xác định cho bộ chỉ mục."
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"AM","Hủy bỏ nhiệm vụ"
"Action","Thao tác"
"Actual Price","Giá thực tế"
"Add","Thêm vào"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Group","Thêm nhóm"
"Add Group Price","Thêm giá cho nhóm"
"Add New","Thêm mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add New Attribute Set","Thêm tập thuộc tính mới"
"Add New Group","Thêm nhóm mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Option","Thêm tính năng mới"
"Add New Row","Thêm hàng mới"
"Add New Search Term","Thêm từ khóa tìm kiếm mới"
"Add New Set","Thêm tập mới"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm sản phẩm vào websites"
"Add Root Category","Thêm loại mặt hàng gốc"
"Add Subcategory","Thêm loại mặt hàng con"
"Add Tax","Thêm thuế"
"Add Tier","Thêm tầng"
"Add attribute into attribute set","Thêm thuộc tính vào tập thuộc tính"
"Add group into attribute set","Thêm nhóm vào tập thuộc tính"
"Add new custom option into product","Thêm tính năng tùy chỉnh vào sản phẩm"
"Add new values into custom option","Thêm các giá trị mới vào tính năng tùy chỉnh"
"Add option","Thêm tính năng"
"Add to Cart","Chọn mua"
"Add to Compare","Thêm để so sánh"
"Add to Wishlist","Thêm vào danh sách thích"
"Additional Information","Thông tin bổ sung"
"Alert Urls","Thông báo đường dẫn"
"All","Tất cả"
"All Product Types","Tất cả các loại sản phẩm"
"All Websites","Tất cả các trang"
"All products","Tất cả sản phẩm"
