"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Quy tắc giá theo danh mục hàng dựa trên ""%s"" thuộc tính đã bị vô hiệu hóa."
"Actions","Thao tác"
"Active","Thao tác"
"Add New Rule","Thêm quy tắc mới"
"An error occurred while deleting the rule. Please review the log and try again.","Đã có lỗi xảy ra khi xóa quy tắc. Vui lòng xem lại log và thử lại."
"An error occurred while saving the rule data. Please review the log and try again.","Đã có lỗi xảy ra khi lưu quy tắc. Vui lòng xem lại log và thử lại."
"Apply","Áp dụng"
"Apply Rules","Áp dụng quy tắc"
"Attribute Set","Tập thuộc tính"
"By Fixed Amount","Bằng số lượng cố định"
"By Percentage of the Original Price","Bằng tỷ lệ phần trăm giá gốc"
"Catalog","Danh mục hàng"
"Catalog Price Rule","Quy tắc giá theo danh mục hàng"
"Catalog Price Rules","Quy tắc giá theo danh mục hàng"
"Category","Loại mặt hàng"
"Conditions","Điều kiện"
"Conditions (leave blank for all products)","Điều kiện (để trống cho tất cả sản phẩm)"
"Conditions Combination","Kết hợp điều kiện"
"Customer Groups","Nhóm khách hàng"
"Date Expire","Ngày hết hạn"
"Date From","Ngày bắt đầu"
"Date Start","Ngày bắt đầu"
"Date To","Ngày kết thúc"
"Description","Mô tả"
"Discount Amount","Số lượng giảm giá"
"Edit Rule","Sửa quy tắc"
"Edit Rule '%s'","Sửa quy tắc '%s'"
"Enable Discount to Subproducts","Kích hoạt giảm giá cho sản phẩm phụ"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"ID","ID"
"Inactive","Không hoạt động"
"New Rule","Quy tắc mới"
"No","Không"
"Options","Tùy chọn"
"Priority","Quyền ưu tiên"
"Product Attribute","Thuộc tính sản phẩm"
"Promotions","Khuyến mãi"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Save and Apply","Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Status","Tình trạng"
"Stop Further Rules Processing","Dừng xử lý các quy tắc sau"
"The rule has been deleted.","Quy tắc đã bị xóa."
"The rule has been saved.","Quy tắc đã được lưu."
"The rules have been applied.","Quy tắc đã được áp dụng."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Có quy tắc đã thay đổi nhưng chưa được áp dụng. Vui lòng nhấp chuột vào nút Áp dụng quy tắc để thấy thay đổi trong danh mục hàng."
"This rule no longer exists.","Quy tắc này không tồn tại."
"To Date","Đến ngày"
"To Fixed Amount","Với số lượng cố định"
"To Percentage of the Original Price","Với tỷ lệ phần trăm giá gốc"
"Unable to apply rules.","Không thể áp dụng quy tắc."
"Unable to find a rule to delete.","Không thể tìm thấy quy tắc để xóa."
"Update Prices Using the Following Information","Cập nhật Giá sử dụng thông tin dưới đây"
"Update product's %s %s: %s","Cập nhật %s của sản phẩm %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Quy tắc sai."
"Yes","Có"
