"%s was added to your shopping cart.","%s đã được chọn mua."
"%s was updated in your shopping cart.","%s đã được cập nhật trong giỏ hàng."
"(Excl. Tax)","(Không bao gồm thuế)"
"(Incl. Tax)","(Bao gồm thuế)"
"* Required Fields","* Trường bắt buộc"
"Add New Address","thêm địa chỉ mới"
"Add New Condition","Thêm điều kiện mới"
"Add coupon code for shopping cart","Thêm mã khuyến mãi cho giỏ hàng"
"Add gift messages to shopping cart","Thêm thông điệp quà tặng vào giỏ hàng"
"Add product to shopping cart","Thêm sản phẩm vào giỏ hàng"
"Add product(s) to shopping cart","Thêm (các) sản phẩm vào giỏ hàng"
"Add to Cart","Chọn mua"
"Add to Compare","Thêm để so sánh"
"Add to Wishlist","Thêm vào danh sách thích"
"Additional Product Info","Thông tin thêm về sản phẩm"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After Adding a Product Redirect to Shopping Cart","Chuyển đến giỏ hàng sau khi thêm sản phẩm"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Đã đăng kí?"
"An error occurred in the process of payment","Đã có lỗi xảy ra trong quá trình thanh toán"
"An error occurred while deleting this condition.","Đã có lỗi xảy ra khi xóa điều kiện này."
"An error occurred while saving this condition.","Đã có lỗi xảy ra khi lưu điều kiện này."
"Apply","Áp dụng"
"Apply Coupon","Áp dụng phiếu giảm giá"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Bạn có chắc muốn rời khỏi trang này? Bạn sẽ cần phải đi qua các bước thanh toán một lần nữa."
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn bỏ sản phẩm này khỏi giỏ hàng?"
"Back","Quay lại"
"Back to Billing Information","Quay lại Thông tin thanh toán"
"Back to Select Addresses","Quay lại lựa chọn địa chỉ"
"Back to Shipping Information","Quay lại thông tin vận chuyển"
"Back to Shopping Cart","Quay lại giỏ hàng"
"Based on your selection, you may be interested in the following items:","Dựa trên sự lựa chọn của bạn, Có thể bạn sẽ thích các sản phẩm dưới đây:"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin thanh toán"
"Billing Information - %s","Thông tin thanh toán - %s"
"Can not remove the item.","Không thể xóa sản phẩm."
"Can not save item.","Không thể lưu sản phẩm."
"Cancel","Hủy"
"Cancel Coupon","Hủy phiếu giảm giá"
"Cannot add item to the shopping cart.","Không thể thêm sản phẩm vào giỏ hàng."
"Cannot add the item to shopping cart","Không thể thêm sản phẩm vào giỏ hàng"
"Cannot add the item to shopping cart.","Không thể thêm sản phẩm vào giỏ hàng."
"Cannot apply the coupon code.","Không thể áp dụng mã khuyến mãi."
"Cannot configure product.","Không thể cấu hình sản phẩm."
"Cannot open the overview page","Không thể mở trang tổng quan"
"Cannot process the item.","Không thể xử lý sản phẩm."
"Cannot remove the item.","Không thể xóa sản phẩm."
"Cannot update shopping cart.","Không thể cập nhật giỏ hàng."
"Cannot update the item.","Không thể cập nhật sản phẩm."
"Card Verification Number Visual Reference","Số tham chiếu xác thực thẻ"
"Cart","Giỏ hàng"
"Cart Product API","API giỏ hàng"
"Cart Subtotal:","Tổng số tiền cần thanh toán:"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Checkbox Text","Nội dung ô đánh dấu"
"Checkout","Thanh toán"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Forms Extra","Thêm mẫu thanh toán"
"Checkout Method","Phương pháp thanh toán"
"Checkout Options","Tùy chọn thanh toán"
"Checkout Progress Wrapper","Quá trình thanh toán bao trùm trang"
"Checkout Section","Mục thanh toán"
"Checkout Terms and Conditions","Điều khoản và điều kiện thanh toán"
"Checkout as Guest","Khách thanh toán"
"Checkout as a Guest or Register","Khách thanh toán hoặc Đăng ký"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
"City","Quận/Huyện"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Nhấn vào đây<a href=""%s"" onclick=""this.target=\'_blank\'"">để in</a> một bản sao xác nhận đơn hàng của bạn."
"Click <a href=""%s"">here</a> to continue shopping.","Nhấn <a href=""%s"">here</a> để tiếp tục mua sắm."
"Close","Đóng"
"Company","Công ty"
"Condition Name","Tên điều kiện"
"Configurable Product Image","Hình ảnh sản phẩm cấu hình"
"Configure Cart Item","Giỏ sản phẩm cấu hình"
"Confirm Password","Xác nhận mật khẩu"
"Content","Nội dung"
"Content Height","Chiều cao nội dung"
"Content Height (css)","Chiều cao nội dung (css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua sắm"
"Continue to Billing Information","Tiếp tục tới thông tin thanh toán"
"Continue to Review Your Order","Tiếp tục tới xem lại đơn hàng của bạn"
"Continue to Shipping Information","Tiếp tục tới thông tin vận chuyển"
"Country","Quốc gia"
"Coupon code ""%s"" is not valid.","Mã khuyến mãi ""%s"" không đúng."
"Coupon code ""%s"" was applied.","Mã khuyến mãi ""%s"" đã được áp dụng."
"Coupon code was canceled.","Mã khuyến mãi đã bị hủy."
"Create Billing Address","Tạo địa chỉ thanh toán"
"Create Shipping Address","tạo địa chỉ vận chuyển"
"Create an order from shopping cart","Tạo một đơn hàng từ giỏ hàng"
"Create shopping cart","Tạo giỏ hàng"
"Customer Address is not valid.","Địa chỉ khách hàng không đúng."
"Customer Information","Thông tin khách hàng"
"Customer's information","Thông tin khách hàng"
"Data saving problem","Vấn đề lưu trữ dữ liệu"
"Default Billing","Thanh toán mặc định"
"Default Shipping","Vận cuyển mặc định"
"Delete Condition","Xóa điều kiện"
"Details","Chi tiết"
"Disabled","Vô hiệu"
"Discount Codes","Mã giảm giá"
"Display Cart Summary","Hiển thị tóm tắt giỏ hàng"
"Display Shopping Cart Sidebar","Hiển thị thanh giỏ hàng"
"Display item quantities","hiển thị số lượng sản phẩm"
"Display number of items in cart","Hiển thị số lượng sản phẩm này trong giỏ"
"Display number of items in wishlist","Hiển thị số lượng sản phẩm trong danh sách thích"
"Easy access to your order history and status","Theo dõi lịch sử và trạng thái đơn hàng"
"Edit","Sửa"
"Edit Address","Sửa địa chỉ"
"Edit Billing Address","Sửa địa chỉ thanh toán"
"Edit Condition","Sửa điều kiện"
"Edit Items","Sửa sản phẩm"
"Edit Shipping Address","Sửa địa chỉ vận chuyển"
"Edit Terms and Conditions","Sửa điều khoản và điều kiện"
"Edit Your Cart","Sửa giỏ hàng của bạn"
"Edit item","Sửa sản phẩm"
"Edit item parameters","Sửa thông số sản phẩm"
"Email Address","Địa chỉ Email"
