"Collected Files Count","Đếm các tệp tin đã thu thập"
"Compilation","Biên dịch"
"Compilation State","Trạng thái biên dịch"
"Compilation error","Lỗi biên dịch"
"Compiled","Đã biên dịch"
"Compiled Scopes Count","Đếm phạm vi biên dịch"
"Compiler Status","Tình trạng biên dịch"
"Compiler include path is disabled.","Biên dịch gồm đường dẫn bị vô hiệu hóa."
"Compiler include path is enabled.","Biên dịch gồm đường dẫn được kích hoạt."
"Directory ""%s"" must be writeable","Thư mục ""%s"" phải ghi được"
"Disable","Vô hiệu"
"Disabled","Đã vô hiệu"
"Enable","Kích hoạt"
"Enabled","Đã kích hoạt"
"File ""%s"" must be writeable","Tệp ""%s"" phải ghi được"
"Not Compiled","Không được biên dịch"
"Run Compilation Process","Khởi chạy quá trình biên dịch"
"Scopes Compilation Settings","Cài đặt phạm vi biên dịch"
"System","Hệ thống
"The compilation has completed.","Biên dịch hoàn tất."
"Tools","Công cụ"
