"-- Please Select --","-- Vui lòng lựa chọn --"
"Add to Cart","Chọn mua"
"Choose an Option...","Chọn một tùy chọn..."
"Configurable Swatches","Mẫu cấu hình"
"Enabled","Đã kích hoạt"
"General Settings","Cài đặt chung"
"Height","Chiều cao"
"In Stock","Còn hàng"
"Innermost dimensions, not including border, in pixels","Kích thước phân loại, không gồm đường viền, dưới dạng pixels"
"Out of Stock","Hết hàng"
"Previous","Trước đó"
"Product Attribute to Use for Swatches in Product Listing","Thuộc tính sản phẩm sử dụng làm mẫu nằm trong danh sách sản phẩm"
"Product Attributes to Show as Swatches in Product Detail","Thuộc tính sản phẩm để hiển thị là mẫu nằm trong chi tiết sản phẩm"
"Remove This Item","Xóa sản phẩm này"
"Swatch Dimensions in Layered Navigation","Phân loại mẫu trong điều hướng theo lớp"
"Swatch Dimensions in Product Listing","Phân loại mẫu trong danh sách sản phẩm"
"Swatch Dimensions on Product Detail Page","Phân loại mẫu trong trang chi tiết sản phẩm"
"Width","Chiều rộng"
