"%s","%s"
"%s already exist.","%s đã tồn tại."
"%s already exists.","%s đã tồn tại."
"-- Please Select --","-- Vui lòng lựa chọn --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Cảnh báo!</strong> Khi sử dụng CDN, trong một số trường hợp JavaScript có thể không chạy đúng nếu CDN không thuộc tên miền phụ"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Cảnh báo!</strong> Khi sử dụng mã cửa hàng trong URLs, trong một số trường hợp hệ thống không làm việc hiệu quả nếu URL không chứa mã cửa hàng được xác định trong dịch vụ của bên thứ ba (ví dụ như PayPal,...)."
"A category object is required for determining the product request path.","Một loại mặt hàng được yêu cầu để xác định đường dẫn yêu cầu sản phẩm."
"Add Block Names to Hints","Thêm tên khối vào Gợi ý"
"Add Secret Key To Url","Thêm khóa bí mật vào Url"
"Add Secret Key to URLs","Thêm khóa bí mật vào URLs"
"Add Store Code to Urls","Thêm mã cửa hàng vào Urls"
"Admin","Quản trị viên"
"Admin Base URL","URL cơ sở quản trị viên"
"Admin User Emails","Địa chỉ email quản trị viên"
"Advanced","Nâng cao"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Sau khi lựa chọn vị trí bộ nhớ mới, nhấn nút Đồng bộ hóa
                                để chuyển tất cả đa phương tiện tới địa điểm mới. Đa phương tiện sẽ không hiển thị ở trên 
                                địa điểm mới cho đến khi quá trình đồng bộ hoàn tất."
"Allow Countries","Cho phép các quốc gia"
"Allow Magento Backend to run in frame","Cho phép Magento Backend chạy trong khung"
"Allow Magento Frontend to run in frame","Cho phép Magento giao diện người dùng chạy trong khung"
"Allow Symlinks","Cho phép liên kết mềm"
"Allowed IPs (comma separated)","IPs được phép (phân cách dấu phẩy)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Các loại tệp được phép: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Không phải tất cả trình duyệt đều hỗ trợ tất cả định dạng này!"
"Allows customers to stay logged in when switching between different stores.","Cho phép khách hàng đăng nhập khi chuyển đổi giữa các cửa hàng khác nhau."
