"Cron (Scheduled Tasks) - all the times are in minutes","Chương trình tự động định kỳ(Tác vụ đã lên lịch trình) - tất cả đều tính bằng phút"
"Daily","Hàng ngày"
"Failure History Lifetime","Quãng thời gian lịch sử thất bại"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Đối với các URL đúng được tạo ra trong quá trình chạy chường trình tự động định kỳ, hãy đảm bảo rằng Web > Các URL an toàn và không an toàn cơ bản được thiết lập rõ ràng."
"Generate Schedules Every","Khởi tạo lịch trình mỗi"
"History Cleanup Every","Xóa lịch sử mỗi"
"Invalid callback: %s::%s does not exist","Lệnh gọi lại không đúng: %s::%s does không tồn tại"
"Invalid model/method definition, expecting ""model/class::method"".","Định nghĩa kiểu/phương pháp không đúng, chờ ""mô hình/lớp::phương thức""."
"Missed if Not Run Within","Bị lỗi nếu không chạy trong vòng"
"Monthly","Hàng tháng"
"No callbacks found","Không tìm thấy Gọi lại nào"
"Schedule Ahead for","lịch trình trước cho"
"Success History Lifetime","Quãng thời gian lịch sử thành công"
"Too late for the schedule.","Quá muộn cho lịch trình."
"Unable to save the cron expression.","Không thể lưu mô tả chương trình tự động định kỳ."
"Weekly","Hàng tuần"
