"Middle Name/Initial","Tên đệm"
"Prefix","Tiền tố"
"Suffix","Hậu tố"
"Tax/VAT Number","Mã số thuế/VAT"
"Associate to Website","Liên kết đến website"
"Disable Automatic Group Change Based on VAT ID","Vô hiệu hóa thay đổi nhóm tự động dựa trên VAT ID"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' dường như là một tên máy chủ DNS nhưng không thể xuất một phần TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với danh sách TLD đã biết"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với sơ đồ tên miền cho TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' dường như là một tên máy chủ DNS nhưng có chứa một dấu gạch ngang ở vị trí không đúng"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' dường như là một tên máy chủ DNS nhưng các ký hiệu punycode không thể giải mã"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' dường như là một tên mạng cục bộ nhưng tên mạng này không được phép"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' dường như là một địa chỉ IP nhưng địa chỉ này không đúng"
"'%value%' does not appear to be a valid local network name","'%value%' không phải là tên mạng cục bộ đúng"
"* Required Fields","* Trường bắt buộc"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"Account Dashboard","Bảng điều khiển tài khoản"
"Account Information","Thông tin tài khoản"
"Account Sharing Options","Các tùy chọn chia sẻ tài khoản"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Đã xác nhận thông tin tài khoản. Vui lòng kiểm tra email để biết liên kết xác nhận. Để gửi lại email xác nhận vui lòng <a href=""%s"">nhấn vào đây</a>."
"Action","Thao tác"
"Add New Address","Thêm địa chỉ mới"
"Add New Customer","Thêm khách hàng mới"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Added From","Được thêm vào từ"
"Additional Address Entries","Các địa chỉ phụ"
"Address","Địa chỉ"
"Address Book","Danh bạ địa chỉ"
"Address Books","Danh bạ địa chỉ"
"Address Information","Thông tin địa chỉ"
"Address Templates","Mẫu địa chỉ"
"Addresses","Các địa chỉ"
"Admin","Quản trị"
"All","Tất cả"
"All Store Views","Xem tất cả các cửa hàng"
"All countries","Tất cả quốc gia"
"Always optional.","Luôn luôn tùy chọn."
"Amount","Số lượng"
"An error occurred while deleting the address.","Có lỗi xảy ra khi xóa địa chỉ."
"An error occurred while retrieving the option value: %s.","Có lỗi xảy ra khi lấy giá trị tùy chọn: %s."
"An error occurred while saving the collection, aborting. Error: %s","Có lỗi xảy ra khi lưu bộ sưu tập, hủy bỏ. Lỗi: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Một ID tùy chọn không đúng được xác định cho %s (%s), bỏ qua bản ghi."
"Approved","Chấp thuận"
"Are you sure that you want to remove this item?","Bạn có chắc chắn muốn xóa sản phầm này?"
"Are you sure you want to cancel adding of this address?","Bạn có chắc chắn muốn hủy việc thêm địa chỉ này?"
"Are you sure you want to delete this address?","Bạn có chắc chắn muốn xóa địa chỉ này?"
"Are you sure?","Bạn có chắc không?"
