"Active","Hoạt động"
"Add Attribute Mapping","Thêm kết hợp thuộc tính"
"Add New Attribute","Thêm thuộc tính mới"
"Add to Google Base","Thêm vào Google Base"
"Are you sure?","Bạn có chắc không?"
"Attribute","Thuộc tính"
"Attribute Set","Tập thuộc tính"
"Attribute Set and Item Type","Tập thuộc tính và loại sản phẩm"
"Attributes","Các thuộc tính"
"Attributes Mapping","Kết hợp thuộc tính"
"Attributes Set","Tập thuộc tính"
"AuthSub","Xác thực"
"Available Products","Sản phẩm có sẵn"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Ngoại tệ cơ sở nên được thiết lập %s cho %s trong cấu hình hệ thống. Nếu không giá sản phẩm sẽ không chính xác trong Google Base."
"Cannot update Google Base Item for Store '%s'","Không thể cập nhật Google Base cho trang '%s'"
"Captcha confirmation error: %s","Lỗi xác nhận Captcha: %s"
"Captcha has been confirmed.","Captcha được xác nhận."
"Catalog","Mục lục"
"Clicks","Nhấp chuột"
"ClientLogin","Khách đăng nhập"
"Confirm","Xác nhận"
"Current Mapping will be reloaded. Continue?","Kết hợp hiện tại sẽ được tải lại. Tiếp tục?"
"Custom attribute, no mapping","Thuộc tính tùy chỉnh, không kết hợp"
"Delete","Xóa"
"Delete Mapping","Xóa kết hợp"
"Edit Item Type","Chỉnh sửa loại sản phẩm"
"Edit Item Type ""%s""","Chỉnh sửa loại sản phẩm ""%s"""
"Error: %s",Lỗi: %s"
"Expires","Hết hạn"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Thuộc tính Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Loại sản phẩm Google Base"
"Google Base Item type","Loại sản phẩm Google Base"
"Google Base Items","Các sản phẩm Google Base"
"Google base","Google base"
"Hide","Ẩn"
"Hosted","Máy chủ"
"Hosted or Google","Máy chủ hoặc Google"
"Impr.","Hiển thị."
"Invalid Product Model for Google Base Item","Mô hình sản phẩm không hợp lệ cho mục Google Base"
"Item Type was deleted","Loại sản phẩm đã bị xóa"
"Item Types","Các loại sản phẩm"
"Item model is not specified to delete Google Base entry.","Mẫu sản phẩm không được xác định để xóa trong Google Base."
"Items","Sản phẩm"
"Manage Attribute Mapping","Quản lý kết hợp thuộc tính"
"Manage Attributes","Quản lý thuộc tính"
"Manage Items","Quản lý sản phẩm"
"New Item Type","Loại sản phẩm mới"
"New ItemType","Loại sản phẩm mới"
"No","Không"
"No items were deleted from Google Base","Không có sản phẩm nào bị xóa khỏi Google Base"
"No items were published","Không có sản phẩm nào được đăng"
"No items were saved as inactive items","Không có sản phẩm nào được lưu lại dưới dạng các sản phẩm không hoạt động"
"No products were added to Google Base","Không có sản phẩm được thêm vào Google Base"
"Object model is not specified to save Google Base entry.","Mô hình đối tượng không được xác định để lưu vào Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Vui lòng lựa chọn tập thuộc tính và loại sản phẩm Google để tải thuộc tính"
"Product Name","Tên sản phẩm"
"Publish","Đăng"
"Published","Đã đăng"
"Remove","Xóa"
"Save Mapping","Lưu kết hợp"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Phiên làm việc đã hết hạn. Vui lòng xem lại các sản phẩm đã truy xuất và lặp lại quá trình này nếu cần thiết."
"Synchronize","Đồng bộ hóa"
"Target Country","Quốc gia mục tiêu"
"The item type has been saved.","Loại sản phẩm đã được lưu."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Hành động này sẽ thống kê cập nhật các sản phẩm và loại bỏ các mục mà không có sẵn trong Google Base. Tiếp tục?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Tổng số %d (các) sản phẩm đã được xóa; tổng số của %d (các) sản phẩm đã được cập nhật."
"Total of %d items(s) have been published.","Tổng số %d (các) sản phẩm đã được đăng."
"Total of %d items(s) have been removed from Google Base.","Tổng số %d (các) sản phẩm đã được xóa khỏi Google Base."
"Total of %d items(s) have been saved as inactive items.","Tổng số %d (các) sản phẩm đã được lưu thành sản phẩm không hoạt động."
"Total of %d product(s) have been added to Google Base.","Tổng số %d (các) sản phẩm đã được thêm vào Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Không thể kết nối với Google Base. Xin vui lòng kiểm tra các thiết lập tài khoản trong cấu hình."
"Unable to select a Store View.","Không thể chọn Cửa hàng."
"View Available Products","Hiển thị sản phẩm có sẵn"
"View Item in Google Base","Hiển thị sản phẩm trong Google Base"
"Yes","Có"
