"(Make sure you keep it in a safe place.)","(Hãy chắc chắn rằng bạn giữ nó ở một nơi an toàn.)"
"(Optional. Leave blank for no prefix)","(Tùy chọn. Để trống cho không có tiền tố)"
"(ver. %s)","(Phiên bản %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Đường dẫn bổ sung thêm vào sau URL Cơ sở để truy cập vào Bảng điều khiển quản trị của bạn (ví dụ như quản trị viên, backend, điều khiển vv.)."
"Admin Path","Đường dẫn tới trang quản trị"
"After successfull installation please click the button below.","Sau khi cài đặt thành công xin vui lòng bấm vào nút dưới đây."
"All packages were installed, click 'OK' to continue with installation.","Tất cả các gói đã được cài đặt, nhấp vào 'OK' để tiếp tục cài đặt."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Hoặc bạn có thể thử phương pháp "Tải về và nâng cấp thủ công"."
"Base URL","URL cơ sở"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Trước khi bạn tiếp tục đến cửa hàng của bạn, xin vui lòng ghi chú lại mã hóa khóa của bạn (Magento sử dụng chúng để mã hóa mật khẩu, thẻ tín dụng và nhiều hơn nữa)."
"Check out our","Kiểm tra"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Đánh dấu ô này nếu không thể tự động xác nhận URL an toàn, ví dụ xác thực HTTP được yêu cầu ."
"Check this box only if it is not possible to automatically validate the Base URL.","Đánh dấu ô này nếu không thể tự động xác nhận URL cơ sở."
"Choose this if you would like to test frontend and backend functionality.","Chọn tùy chọn này nếu bạn muốn thử nghiệm tính năng giao diện người dùng và backend."
"Configuration","Cấu hình"
"Confirm Password","Xác nhận mật khẩu"
"Connection", "Kết nối"
"Continue","Tiếp tục"
"Continue After Manual Download","Tiếp tục sau khi tải về thủ công"
"Continue Full Download / SVN Installation","Tiếp tục tải về đầy đủ / cài đặt qua SVN"
"Create Admin Account","Tạo tài khoản quản trị"
"Currently this is the most stable state available for Magento packages.","Hiện nay đây là trạng thái ổn định nhất có sẵn cho các gói Magento."
"Database","Cơ sở dữ liệu"
"Database Connection","Kết nối cơ sở dữ liệu"
"Database Name","Tên cơ sở dữ liệu"
"Database Name cannot be empty.","Tên cơ sở dữ liệu không thể để trống."
"Database Type","Loại cơ sở dữ liệu"
"Database connection error.","Lỗi kết nối cơ sở dữ liệu."
"Database host","Máy chủ cơ sở dữ liệu"
"Database server does not support the InnoDB storage engine.","Máy chủ cơ sở dữ liệu không hỗ trợ các công cụ lưu trữ InnoDB."
"Database user name","Tên người dùng cơ sở dữ liệu"
"Database user password","Mật khẩu người dùng cơ sở dữ liệu"
"Default Currency","Ngoại tệ mặc định"
"Download","Tải về"
"Download Magento Core Modules and Updates","Tải các mô-đun chính và cập nhật của Magento"
"Downloading and installing Magento, please wait...","Đang tải về và cài đặt Magento, xin vui lòng chờ..."
"Email","Email"
"Email Address","Địa chỉ email"
"Enable Charts","Kích hoạt biểu đồ"
"Enable this option if you want the charts to be displayed on Dashboard.","Bật tùy chọn này nếu bạn muốn biểu đồ sẽ được hiển thị trên Bảng điều khiển."
"Enable this option only if you have SSL available.","Bật tùy chọn này nếu bạn có sẵn SSL."
"Encryption Key","Khóa mã hóa"
"File System","Hệ thống tệp"
