"An error occurred while clearing the external full page cache.","Có lỗi xảy ra khi xóa hoàn toàn bộ nhớ đệm ngoài của trang."
"Cookie Lifetime (seconds)","Quãng thời gian Cookie (Giây)"
"Enable External Cache","Kích hoạt bộ nhớ đệm ngoại"
"External Cache Control","Kiểm soát bộ nhớ đệm ngoại"
"External Full Page Cache Settings","Thiết lập Bộ nhớ đệm ngoại toàn trang"
"External full page cache.","Bộ nhớ đệm ngoại toàn trang."
"Failed to load external cache control","Tải kiểm soát bộ nhớ đệm ngoại thất bại"
"Flush External Page Cache","Xóa dữ liệu bộ nhớ đệm ngoại của trang"
"If empty, default value will be used.","Nếu trống, giá trị mặc định sẽ được sử dụng."
"The external full page cache has been cleaned.","Bộ nhớ đệm ngoại toàn trang đã được xóa."
"Zend Full Page Cache","Bộ nhớ đệm toàn trang cấu hình Zend"
