"%s %s cycle.","%s %s chu kỳ."
"* Required Fields","* Trường bắt buộc"
"--Please Select--","--Vui lòng lựa chọn--"
"3D Secure Card Validation","Xác nhận bảo mật thẻ 3D"
"3D Secure Credit Card Validation","Xác nhận bảo mật 3D thẻ tín dụng"
"<label>Make Check payable to:</label> %s","<label>Thực hiện thanh toán được bằng Séc cho:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Một giá trị được yêu cầu cho chế độ trực tiếp. Hãy tham khảo thỏa thuận Thương mại của bạn."
"Allow Initial Fee Failure","Phí được phép ban đầu thất bại"
"An internal reference ID is required to save the payment profile.","Một ID tham chiếu nội bộ là bắt buộc để lưu hồ sơ thanh toán."
"Authorize action is not available.","Hoạt động ủy quyền không có sẵn."
"Auto Bill on Next Cycle","Hóa đơn tự động cho chu kỳ tiếp theo"
"Automatically Invoice All Items","Tự động tạo hóa đơn cho tất cả các sản phẩm"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Tự động tạo hóa đơn dư nợ tự động cho chu kỳ thanh toán tiếp theo (nếu có thanh toán không thành công)."
"Bank Transfer Payment","Thanh toán chuyển khoản ngân hàng"
"Billing Agreement status is not set.","Tình trạng thỏa thuận thanh toán chưa được thiết lập."
"Billing Amount","Số tiền thanh toán"
"Billing Frequency","Tần suất thanh toán"
"Billing Period","Thời gian thanh toán"
"Billing Period Unit","Đơn vị thời gian thanh toán"
"Billing period unit is not defined or wrong.","Đơn vị thời gian thanh toán sai hoặc không xác định được."
"Cannot retrieve the payment info model object.","Không thể lấy đối tượng mẫu thông tin thanh toán."
"Cannot retrieve the payment information object instance.","Không thể lấy thực thể mẫu thông tin thanh toán."
"Cannot retrieve the payment method code.","Không thể lấy mã thông tin thanh toán."
"Cannot retrieve the payment method model object.","Không thể lấy đối tượng mẫu thông tin thanh toán."
"Capture action is not available.","Hoạt động xác nhận giao dịch không có sẵn."
"Card Verification Number","Số xác minh thẻ"
"Cash On Delivery Payment","Thanh toán bằng tiền mặt khi giao hàng"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Kiểm tra/ Tiền hóa đơn"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Types","Các loại thẻ tín dụng"
"Credit card number mismatch with credit card type.","Số thẻ tín dụng không phù hợp với loại thẻ tín dụng."
"Credit card type is not allowed for this payment method.","Loại thẻ tín dụng không được phép cho phương pháp thanh toán này."
"Currency","Ngoại tệ"
"Currency code is undefined.","Không xác định được mã ngoại tệ."
"Customer ID is not set.","ID khách hàng chưa được thiết lập."
"Day","Ngày"
"Debug Mode","Chế độ sửa lỗi"
"Enabled","Đã kích hoạt"
"Expiration Date","Ngày hết hạn"
"Full name of the person receiving the product or service paid for by the recurring payment.","Tên đầy đủ của người nhận sản phẩm hoặc dịch vụ đã trả tiền bằng thanh toán định kì."
"Incorrect credit card expiration date.","Ngày hết hạn thẻ tín dụng sai."
"Initial Fee","Phí ban đầu"
"Initial non-recurring payment amount due immediately upon profile creation.","Số tiền thanh toán không định kỳ ban đầu được tính ngay khi tạo hồ sơ."
"Instructions","Giới thiệu"
"Internal Reference ID","ID tham chiếu nội bộ"
"Invalid Credit Card Number","Số thẻ tín dụng không đúng"
"Issue Number","Số phát hành"
"Make Check Payable to","Thực hiện thanh toán được bằng Séc cho"
"Make Check payable to:","Thực hiện thanh toán được bằng Séc cho:"
"Make Check payable to: %s","Thực hiện thanh toán được bằng Séc cho: %s"
"Maximum Billing Cycles","Chu kỳ thanh toán tối đa"
"Maximum Order Total","Tông đơn hàng tối đa"
"Maximum Payment Failures","Thanh toán tối đa thất bại"
"Maximum Trial Billing Cycles","Chu kỳ thanh toán thử tối đa"
"Merchant ID","ID người bán"
"Minimum Order Total","Tổng đơn hàng tối thiểu"
"Month","Tháng"
"N/A","N/A"
"Name on Card","Tên trên thẻ"
"Name on the Card","Tên trên thẻ"
"New Order Status","Tình trạng đơn hàng mới"
"Number of billing periods that make up one billing cycle.","Số giai đoạn thanh toán trong một chu kỳ thanh toán."
"Order action is not available.","Hoạt động đặt hàng không tồn tại."
"Overrides API URL that may be specified by a payment method.","URL API kế thừa có thể được xác định bởi một phương pháp thanh toán."
"Password","Mật khẩu"
"Payment Method","Phương pháp thanh toán"
"Payment Methods","Các phương pháp thanh toán"
"Payment Methods Section","Mục phương pháp thanh toán"
"Payment Reference ID","ID tham chiếu thanh toán"
"Payment Services","Dịch vụ thanh toán"
"Payment from Applicable Countries","Thanh toán từ những quốc gia khả dụng"
"Payment from Specific Countries","Thanh toán từ những quốc gia cụ thể"
"Payment method code is not set.","Mã phương pháp thanh toán chưa được thiết lập."
"Payment method code is undefined.","Không xác định được mã phương pháp thanh toán."
"Payment profile is invalid:\n%s","Hồ sơ thanh toán không đúng:\n%s"
"Period frequency is wrong.","Tần suất giai đoạn sai."
"Please enter a valid credit card verification number.","Vui lòng nhập một số xác minh thẻ tín dụng đúng."
"Processor ID","ID người xử lý"
"Purchase Order","Đơn hàng"
"Purchase Order Number","Số đơn hàng"
"Purchase Order Number:","Số đơn hàng:"
"Purchase Order Number: %s","Số đơn hàng: %s"
"Recurring Profile Start Date","Ngày bắt đầu của hồ sơ định kỳ"
"Recurring profile start date has invalid format.","Định dạng ngày bắt đầu hồ sơ định kỳ không đúng."
"Reference ID is not set.","ID tham chiếu chưa được thiết lập."
"Refund action is not available.","Hoạt động hoàn tiền không có sẵn."
"Repeats %s time(s).","Lặp lại %s (các) lần."
"Repeats until suspended or canceled.","Lặp lại cho đến khi bị đình chỉ hoặc hủy bỏ."
"Request Card Security Code","Yêu cầu mã bảo mật thẻ"
"Saved CC","CC đã lưu"
"Schedule Description","Mô tả thanh toán định kỳ"
"Schedule description must be not empty.","Mô tả thanh toán định kỳ không được bỏ trống."
"Selected payment type is not allowed for billing country.","Loại thanh toán đã chọn không được phép thực hiện ở nước đang thanh toán."
"Send Check to","Gửi Séc tới"
"Send Check to:","Gửi Séc tới:"
"Severe 3D Secure Card Validation","Xác nhận chặt chẽ bảo mật thẻ 3D"
"Severe validation removes chargeback liability on merchant.","Xác nhận loại bỏ trách nhiệm pháp lý bồi hoàn đối với người bán."
"Shipping Amount","Tiền vận chuyển"
"Short description of the recurring payment. By default equals to the product name.","Mô tả ngắn cho thanh toán định kỳ. Mặc định bằng tên sản phẩm"
"Sort Order","Sắp xếp đơn hàng"
"Start Date","Ngày bắt đầu"
"Start date has invalid format.","Định dạng ngày bắt đầu không đúng."
"Start date is undefined.","Ngày bắt đầu không xác định được."
"Subscriber Name","Tên người đăng ký theo dõi"
"Switch/Solo/Maestro Issue Number","Số phát hành thẻ Switch/Solo/Maestro"
"Switch/Solo/Maestro Only"," Chỉ có thẻ Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Ngày bắt đầu thẻ Switch/Solo/Maestro"
"Tax Amount","Tiền thuế"
"Test Mode","Chế độ kiểm tra"
"The date when billing for the profile begins.","Ngày bắt đầu khi thanh toán cho hồ sơ bắt đầu."
"The number of billing cycles for payment period.","Số chu kỳ thanh toán cho giai đoạn thanh toán."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Số lần thanh toán theo lịch trình có thể thất bại trước khi hồ sơ tự động bị đình chỉ."
"The payment review action is unavailable.","Không xem lại được việc thanh toán."
"The requested Payment Method is not available.","Phương pháp thanh toán đã chọn không có sẵn."
"Title","Tiêu đề"
"Trial Billing Amount","Số tiền thanh toán thử nghiệm"
"Trial Billing Frequency","Tần suất thanh toán thử nghiệm"
"Trial Billing Period Unit","Đơn vị khoảng thời gian thanh toán thử nghiệm"
"Trial Period","Khoảng thời gian thử nghiệm"
"Trial billing amount is wrong.","Số tiền thanh toán thử nghiệm sai."
"Trial billing period unit is wrong.","Đơn vị khoảng thời gian thanh toán thử nghiệm sai."
"Trial period frequency is wrong.","Tần suất giai đoạn thử nghiệm sai."
"Trial period max cycles is wrong.","Chu kỳ giai đoạn thử nghiệm tối đa sai."
"Two Weeks","Hai tuần"
"Unable to save Billing Agreement:","Không thể lưu Thỏa thuận thanh toán:"
"Unit for billing during the subscription period.","Đơn vị thanh toán trong giai đoạn đăng ký."
"Unsupported currency code: %s.","Mã ngoại tệ không được hỗ trợ: %s."
"Void action is not available.","Hoạt động hủy bỏ không có sẵn."
"Week","Tuần"
"What is this?","Đây là gì?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Tạm dừng hồ sơ thanh toán nếu phí ban đầu bị lỗi hay thêm nó vào khoản ghi nợ."
"Wrong %s specified.","Xác định %s sai ."
"Wrong or empty billing amount specified.","Số tiền thanh toán sai hoặc không có."
"Year","Năm"
"Zero Subtotal Checkout","Thanh toán không có tổng phụ"
