"Abandoned Carts","Giỏ hàng trống"
"Abandoned carts","Giỏ hàng trống"
"Action","Hoạt động"
"Add to Cart","Chọn mua"
"Add to Compare","Thêm để so sánh"
"Add to Wishlist","Thêm vào danh sách thích"
"Any","Bất kỳ"
"Applied Coupon","Mã phiếu giảm giá đã áp dụng"
"Applies to Any of the Specified Order Statuses","Áp dụng cho bất kỳ trạng thái của đơn hàng cụ thể nào"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Bạn có chắc muốn làm mới thống kê thời gian? Điều này có thể tác động đến hoạt động này."
"Are you sure?","Bạn có chắc không?"
"Avg. Approved Rating","Xếp hạng trung bình được chấp thuận"
"Avg. Rating","Xếp hạng trung bình"
"Bestsellers","Sản phẩm bán chạy"
"Bought from wishlists","Mua từ danh sách thích"
"CSV","CSV"
"Carts","Giỏ hàng"
"Catalog Category (Without Subcategories)","Cấu trúc danh mục (Không có loại mặt hàng phụ)"
"Compared Products Grid Template","Mẫu so sánh sản phẩm dạng lưới"
"Compared Products List Template","Mẫu so sánh sản phẩm dạng danh sách"
"Coupons","Phiếu giảm giá"
"Coupons Usage Report","Báo cáo sử dụng phiếu giảm giá"
"Created At","Ngày khởi tạo"
"Current Month Starts","Bắt đầu tháng hiện tại"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Customer Tags","Gắn thẻ của khách hàng"
"Customers","Khách hàng"
"Customers Report","Báo cáo khách hàng"
"Customers Reviews","Đánh giá của khách hàng"
"Customers Tags","Gắn thẻ của khách hàng"
"Customers by Number of Orders","Khách hàng bởi số đơn hàng"
"Customers by Orders Total","Khách hàng theo tổng giá trị đơn hàng"
"Customers by number of orders","Khách hàng theo số lượng đơn hàng"
"Customers by orders total","Khách hàng bởi tổng đơn hàng"
"Customers that have wishlist: %s%","Khách hàng có danh sách thích: %s%"
"Dashboard","Bảng điều khiển"
"Day","Ngày"
"Default Recently Compared Products Count","Đếm sản phẩm được so sánh gần đây"
"Default Recently Viewed Products Count","Đếm sản phẩm được xem gần đây"
"Description","Mô tả"
"Detail","Chi tiết"
"Downloads","Tải về"
"Email","Email"
"Empty Rows","Dòng trống"
"Enable Reports","Kích hoạt báo cáo"
"Excel XML","Excel XML"
"Filter","Bộ lọc"
"First Name","Tên"
"From","Từ"
"General","Tổng quan"
"Guest","Khách"
"Hits","Lượng truy cập"
"ID","ID"
"IP Address","Địa chỉ IP"
"Index model name must be defined","Tên mẫu chỉ mục phải được xác định"
"Invalid date specified.","Ngày không đúng."
"Invoiced","Lập hóa đơn"
"Items in Cart","Sản phẩm trong giỏ hàng"
"Last Name","Họ"
"Last Review","Đánh giá gần nhất"
"Link","Liên kết"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Danh sách sản phẩm so sánh gần đây và đã được loại bỏ khỏi danh sách bởi khách"
"List of Products Recently Viewed by Visitor","Danh sách sản phẩm được xem gần đây bởi khách"
"Low Stock","Hàng số lượng ít"
"Low stock","Hàng số lượng ít"
"Match Period To","Giai đoạn phù hợp với"
"Month","Tháng"
"Most Viewed","Được xem nhiều nhất"
"Name","Tên"
"New Accounts","Tài khoản mới"
"No","Không"
"Number Added","Thêm số lượng"
"Number Fulfilled","Số lượng hoàn thành"
"Number Of Reviews","Số đánh giá"
"Number Purchased","Số lượng đã mua"
"Number Viewed","Số lượng đã xem"
"Number of Items","Số lượng sản phẩm"
"Number of New Accounts","Số lượng tài khoản mới"
"Number of Products to display","Số lượng sản phẩm hiển thị"
"Number of Reviews","Số nhận xét"
"Number of Times Deleted","Số lần xóa"
"Number of Total Tags","Số lượng thẻ được gắn"
"Number of Unique Tags","Số lượng tags duy nhất"
"Number of Views","Lượt xem"
"Number of items bought from a wishlist: %s","Số lượng sản phẩm được mua từ danh sách thích: %s"
"Number of times wishlists have been shared (emailed): %s","Số lượng sản phẩm từ dánh sách thích được chia sẻ (gửi qua email): %s"
"Number of wishlist conversions: %s","Số lượng chuyển đỏi từ danh sách thích: %s"
"Number of wishlist referrals: %s","Số lượng tham khảo từ danh sách thích: %s"
"Number of wishlists: %s","Số danh sách thích: %s"
"Order Status","Trạng thái đơn hàng"
"Order Taxes Report Grouped by Tax Rate","Báo cáo thuế suất theo đơn hàng"
"Orders","Đơn hàng"
"Out of stock","Hết hàng"
"Period","Giai đoạn"
"Poducts Report","Báo cáo sản phẩm"
"Popular Tags","Các thẻ đánh dấu phổ biến"
"Popularity","Số lượng thẻ"
"Price","Giá"
