"""%s"" coupon code is not valid.","Mã khuyến mãi ""%s"" không đúng."
"%s","%s"
"%s / %s rate:","Tỷ lệ %s / %s:"
"%s for %s","%s cho %s"
"%s order(s) cannot be canceled","Đơn đặt hàng %s không thể hủy"
"%s order(s) have been canceled.","Đơn đặt hàng %s đã bị hủy."
"%s order(s) have been put on hold.","Đơn đặt hàng %s đã được hoãn lại."
"%s order(s) have been released from holding status.","Đơn đặt hàng %s được bắt đầu tình trạng giữ hàng."
"%s order(s) were not put on hold.","Không giữ lại đơn hàng %s."
"%s order(s) were not released from holding status.","Đơn đặt hàng %s không ở trạng thái giữ hàng ."
"* - Enter custom price excluding tax","* - Nhập tùy chỉnh giá không bao gồm thuế"
"* - Enter custom price including tax","* - Nhập tùy chỉnh giá bao gồm thuế"
"* Required Fields","* Các trường bắt buộc"
"-- Please Select --","-- Vui lòng chọn --"
"-- Please Select Billing Agreement--","-- Vui lòng chọn thỏa thuận thanh toán--"
"About This Order:","Về đơn đặt hàng:"
"About This Profile:","Về hồ sơ:"
"About Your Invoice","Về hóa đơn của bạn"
"About Your Order","Về đơn đặt hàng của bạn"
"About Your Refund","Về vấn đề trả hàng"
"About Your Shipment","Về đơn giao hàng của bạn"
"Accept Payment","Đồng ý thanh toán"
"Accept or Deny Payment","Chấp nhận hoặc từ chối thanh toán"
"Account Information","Thông tin tài khoản"
"Action","Thao tác"
"Actions","Thao tác"
"Activate","Kích hoạt"
"Active","Hoạt động"
"Add","Thêm"
"Add New Address","Thêm địa chỉ mới"
"Add Order Comments","Thêm nhận xét đơn hàng"
"Add Package","Thêm gói hàng"
"Add Products","Thêm sản phẩm"
"Add Selected Product(s) to Option","Thêm sản phẩm đã chọn vào Tùy chọn"
"Add Selected Product(s) to Order","Thêm sản phẩm đã chọn vào đơn đặt hàng"
"Add Selected Product(s) to Package","Thêm sản phẩm đã chọn vào gói hàng"
"Add To Order","Thêm vào đơn đặt hàng"
"Add Tracking Number","Thêm số theo dõi"
"Add comment to order","Thêm nhận xét để đặt hàng"
"Add new comment to credit memo","Thêm bình luận mới cho hoàn tiền"
"Add new comment to shipment","Thêm bình luận mới cho đơn giao hàng"
"Add new tracking number","Thêm số theo dõi mới"
"Add to Cart","Chọn mua"
"Additional Product Info","Thông tin thêm về sản phẩm"
"Address","Địa chỉ"
"Address model is not defined.","Mô hình địa chỉ không được định nghĩa."
"Adjustment Fee","Phí điều chỉnh"
"Adjustment Refund","Hoàn lại"
"Agreement Information","Thông tin thỏa thuận"
"Allow Reorder","Cho phép đặt hàng lại"
"Amount","Số tiền"
"Amount: %s.","Số tiền: %s."
"An error occurred while assigning order status. Status has not been assigned.","Đã xảy ra lỗi khi thêm trạng thái đơn hàng. Tình trạng chưa được giao."
"An error occurred while creating shipping label.","Xảy ra lỗi khi tạo nhãn vận chuyển."
"An error occurred while saving order status. The status has not been added.","Xảy ra lỗi khi lưu tình trạng đặt hàng. Tình trạng chưa được thêm."
"An error occurred while unassigning order status.","Xảy ra lỗi khi ấn định đơn đặt hàng."
"An error occurred while updating the order address. The address has not been changed.","Đã xảy ra lỗi khi cập nhật địa chỉ đặt hàng. Các địa chỉ đã không được thay đổi."
"An item option with code %s already exists.","Mã tùy chọn sản phẩm %s đã tồn tại."
"Anchor Custom Title","Tùy chỉnh tiêu đề"
"Append Comments","Thêm nhận xét"
"Apply","Ứng dụng"
"Apply Coupon Code","Áp dụng mã khuyến mãi"
"Approved the payment online.","Thanh toán trực tuyến."
"Are you sure you want to accept this payment?","Bạn có chắc muốn chấp nhận thanh toán này?"
"Are you sure you want to cancel this order?","Bạn có muốn hủy đơn đặt hàng này?"
"Are you sure you want to delete all items from shopping cart?","Bạn có chắc muốn xóa toàn bộ hàng trong giỏ?"
"Are you sure you want to deny this payment?","Bạn có chắc muốn từ chối thanh toán này?"
"Are you sure you want to do this?","Bạn có chắc muốn làm điều này?"
"Are you sure you want to send Creditmemo email to customer?","Bạn có chắc muốn gửi email ghi nhớ tín dụng cho khách hàng?"
"Are you sure you want to send Invoice email to customer?","Bạn có chắc chắn bạn muốn gửi email hóa đơn cho khách hàng?"
"Are you sure you want to send Shipment email to customer?","Bạn có chắc chắn muốn gửi email gói hàng cho khách hàng?"
"Are you sure you want to send order email to customer?,""Bạn có chắc muốn gửi email đơn đặt hàng cho khách hàng?""";
"Are you sure you want to void the payment?,""Bạn có chắc bạn muốn làm mất hiệu lực thanh toán?""";
"Are you sure?,""Bạn có chắc không?""";
"Are you sure? This order will be canceled and a new one will be created instead","Bạn có chắc không? Lệnh này sẽ hủy bỏ và một lệnh mới thay thế sẽ được tạo ra"
"Assign Order Status to State","Trạng thái đơn hàng"
"Assign Status to State","Trạng thái"
"Assignment Information","Thông tin chuyển nhượng"
"At least a payment ID must be set.","Ít nhất một ID thanh toán phải được thiết lập."
"Authorization","Cho phép"
"Authorized amount of %s.","Số lượng được cho phép %s."
"Authorizing amount of %s is pending approval on gateway.","Số lượng cho phép %s đang chờ phê duyệt."
"Back","Trở về"
"Back to Billing Agreements","Trở về mục Thỏa thuận thanh toán"
"Back to My Orders","Trở về mục Quản lý đơn hàng"
"Back to Recurring Profiles","Trở về mục Hồ sơ"
"Backordered","Giao hàng trễ"
"Bestsellers","Bán chạy nhất"
"Bill to Name","Tên hóa đơn"
"Billing","Thanh toán"
"Billing Address","Địa chỉ thanh toán"
"Billing Agreement","Thỏa thuận thanh toán"
"Billing Agreement # %s,""Thỏa thuận thanh toán # %s""";
"Billing Agreement #%s,""Thỏa thuận thanh toán #%s""";
"Billing Agreement View,""Xem thỏa thuận thanh toán""";
"Billing Agreements","Thỏa thuận thanh toán"
"Billing Last Name","Tên hóa đơn"
"Billing ZIP Code","Mã bưu chính hóa đơn"
"Buy %s for price %s","Mua %s với giá %s"
"CSV","CSV"
"Cancel","Hủy"
"Cancel credit memo","Hủy Hoàn tiền"
"Cancel invoice","Hủy hóa đơn"
"Cancel order","Hủy đặt hàng"
"Canceled","Đã hủy"
"Canceled order offline.","Đã hủy ẩn đơn đặt hàng."
"Canceled order online.","Đã hủy đơn đặt hàng trực tuyến."
"Cannot add order history.","Không thể thêm lịch sử đơn đặt hàng."
"Cannot create an empty shipment.","Không thể tạo đơn giao hàng trống."
"Cannot determine the field name.","Không thể xác định tên của trường này."
"Cannot do invoice for order.,""Không thể tạo hóa đơn cho đơn đặt hàng.""";
"Cannot do shipment for order.,""Không thể giao hàng cho đơn đặt hàng.""";
"Cannot get order instance,""Không thể lấy các ví dụ đặt hàng""";
"Cannot get the order instance.,""Không thể lấy các ví dụ đặt hàng.""";
"Cannot register an existing credit memo.,""Không thể đăng ký một hoàn tiền đang tồn tại.""";
"Cannot register existing shipment,""Không thể đăng ký gói hàng đang tồn tại""";
"Capture","Đạt được"
"Capture Amount","Số lượng đạt được"
"Capture Offline,""Ngoại tuyến""";
"Capture Online,""Trực tuyến""";
"Capture invoice,""Hóa đơn""";
"Captured amount of %s online.""","%s số lượng trực tuyến.""";
"Capturing amount of %s is pending approval on gateway.,""Số lượng %s đang chờ phê duyệt.""";
"Carrier","Nhà cung cấp"
"Carrier/Method","Nhà cung cấp/Phương pháp"
"Change status, add comments","Thay đổi trạng thái, thêm nhận xét"
"Changing address information will not recalculate shipping, tax or other order amount.","Thay đổi thông tin địa chỉ sẽ không tính toán lại phí vận chuyển, thuế hoặc số đơn đặt hàng khác."
"Checkout Totals Sort Order","Thanh toán theo thứ tự"
"City","Thành phố"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click to change shipping method","Nhấn vào đây để thay đổi phương pháp vận chuyển"
"Close","Đóng"
"Closed","Đã đóng"
"Comma-separated.","Ngăn cách bởi dấu phẩy."
"Comment","Nhận xét"
"Comment Text","Văn bản nhận xét"
"Comments","Nhận xét"
"Comments History","Lịch sử nhận xét"
"Company","Công ty"
"Complete","Hoàn thành"
"Configure","Cấu hình"
"Configure and Add to Order","Cấu hình và thêm vào đơn đặt hàng"
"Contents","Nội dung"
"Continue","Tiếp tục"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","Quản lý IP của khách hàng có hiện trong đơn hàng, hóa đơn, phiếu giao hàng, hoàn tiền hay không."
"Country","Quốc gia"
"Coupons","Phiếu giảm giá"
"Create","Tạo mới"
"Create New Customer","Tạo khách hàng mới"
"Create New Order","Tạo đơn đặt hàng mới"
"Create New Order Status","Tạo tình trạng đơn đặt hàng mới"
"Create New Order for %s","Create New Order for %s"
"Create New Order for %s in %s","Tạo đơn hàng mới cho %s trong %s"
"Create New Order for New Customer","Tạo đơn đặt hàng mới cho khách hàng mới"
"Create New Order for New Customer in %s","Tạo đơn đặt hàng mới cho khách hàng mới trong %s"
"Create New Status","Tạo trạng thái mới"
"Create Packages","Tạo gói hàng"
"Create Shipment","Tạo Phiếu giao hàng"
"Create Shipping Label","Tạo thẻ vận chuyển"
