" for more information or "," để biết thêm thông tin hoặc "
"# of Items (and above)","# của sản phẩm (và thêm)"
"# of Items vs. Destination","# của Sản phẩm so với Điểm đến"
"Allow Shipping to Multiple Addresses","Cho phép vận chuyển đến nhiều địa chỉ"
"An error occurred while import table rates.","Đã xảy ra lỗi khi nhập bảng giá."
"Calculate Handling Fee","Tính phí xử lý"
"Carrier:","Nhà cung cấp:"
"City","Quận/Huyện"
"Close Window","Đóng cửa sổ"
"Condition","Điều kiện"
"Country","Quốc gia"
"Date","Ngày"
"Delivered on:","Phân phối vào:"
"Delivered to:","Phân phối về:"
"Description","Mô tả"
"Displayed Error Message","Hiển thị thông báo lỗi"
"Divide to equal weight (one request)","Divide to equal weight (one request)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Sao chép dòng #%s (Quốc gia ""%s"", Vùng/Khu vực ""%s"", Zip ""%s"" và Giá trị ""%s"")."
"Enabled","Kích hoạt"
"Error:","Lỗi:"
"Export","Xuất"
"File has not been imported. See the following list of errors: %s","Tập tin không được nhập. Xem danh sách lỗi sau: %s"
"Fixed","Đã sửa"
"Flat Rate","Giá gốc"
"Free Shipping","Vận chuyển miễn phí"
"Google Sitemap Section","Mục sơ đồ web Google"
"Handling Fee","Phí xử lý"
"Import","Nhập"
"Include Virtual Products in Price Calculation","Bao gồm các sản phẩm ảo trong tính toán giá"
"Info:","Thông tin:"
"Invalid %s ""%s"" in the Row #%s.","%s không đúng ""%s"" ở dòng #%s."
"Invalid Country ""%s"" in the Row #%s.","Quốc gia không đúng ""%s"" ở dòng #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Vùng/Khu vực không đúng ""%s"" ở dòng #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Giá vận chuyển không đúng ""%s"" ở dòng #%s."
"Invalid Table Rate code for type %s: %s","Mã bảng giá không đúng cho loại %s: %s"
"Invalid Table Rate code type: %s","Loại mã bảng giá không đúng: %s"
"Invalid Table Rates File Format","Định dạng tập tin bảng giá không đúng"
"Invalid Table Rates format in the Row #%s","Định dạng bảng giá không đúng ở dòng #%s"
"Local Time","Giờ địa phương"
"Location","Vị trí"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Số lượng tối đa khi vẫn chuyển nhiều địa chỉ"
"Method Name","Tên phương pháp"
"Minimum Order Amount","Số đơn hàng tối thiểu"
"N/A","N/A"
"None","Không"
"Options","Tùy chọn"
"Order Subtotal (and above)","Tổng đơn hàng (và hơn)"
"Origin","Nguồn gốc"
"Per Order","Đơn hàng trung bình"
"Per Package","Gói hàng trung bình"
"Percent","Phần trăm"
"Price","Giá"
"Price vs. Destination","Giá so với điểm đến"
"Region/State","Vùng/Khu vực"
"Service Type:","Loại dịch vụ:"
"Ship to Applicable Countries","Vận chuyển tới các nước áp dụng"
"Ship to Specific Countries","Vận chuyển cho các nước cụ thể"
"Shipment #","Vận chuyển #"
"Shipment Tracking Popup","Cửa sổ theo dõi vận chuyển"
"Shipped or billed on:","Đã giao hàng hoặc thanh toán trên:"
"Shipping Methods","Phương pháp vận chuyển"
"Shipping Methods Section","Mục phương pháp vận chuyển"
"Shipping Settings","Thiết lập vận chuyển"
"Shipping Settings Section","Mục thiết lập vận chuyển"
"Show Method if Not Applicable","Xem phương pháp nếu không áp dụng"
"Signed by:","Ký bởi:"
"Sort Order","Lọc theo thứ tự"
"Status:","Trạng thái:"
"Store Pickup","Nhận hàng tại cửa hàng"
"Street Address","Địa chỉ đường"
"Street Address Line 2","Địa chỉ đường dòng 2"
"Table Rates","Bảng giá"
"The shipping module is not available for selected delivery country.","Các module vận chuyển không có sẵn cho quốc gia giao hàng đã lựa chọn."
"The shipping module is not available.","Các module vận chuyển không có sẵn."
"There is no tracking available for this shipment.","Theo dõi không có sẵn cho lô hàng này."
"There is no tracking available.","Theo dõi không có sẵn."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Phương pháp vận chuyển này không có sẵn. Nếu bạn muốn sử dụng phương pháp vận chuyển này, xin vui lòng liên hệ với chúng tôi."
"This shipping method is not available, please specify ZIP-code","Phương pháp vận chuyển này không có sẵn, vui lòng ghi rõ mã bưu chính"
"Title","Tiêu đề"
"Track:","Theo dõi:"
"Tracking Information","Thông tin theo dõi"
"Tracking Number:","Số theo dõi:"
"Tracking information is currently not available. Please ","Theo dõi thông tin hiện không có sẵn. Xin vui lòng "
"Tracking information is currently unavailable.","Theo dõi thông tin chưa có."
"Type","Loại"
"Use origin weight (few requests)","Dùng trọng lượng ban đầu (ít yêu cầu)"
"Weight (and above)","Trọng lượng (và hơn)"
"Weight vs. Destination","Trọng lượng so với điểm đến"
"Weight:","Trọng lượng:"
"ZIP/Postal Code","Mã bưu chính/bưu điện"
"contact us","liên hệ với chúng tôi"
"email us at ","gửi email tới "
