"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Please Select --"
"Add New Class","Add New Class"
"Add New Tax Rate","Thêm quy tắc thuế mới"
"Add New Tax Rule","Thêm quy tắc thuế mới"
"After Discount","Sau khi giảm giá"
"An error occurred while deleting this rate.","Đã có lỗi xảy ra khi xóa tỷ suất này."
"An error occurred while deleting this rate. Incorrect rate ID.","Đã có lỗi xảy ra khi xóa tỷ suất này. ID tỷ suất không đúng."
"An error occurred while deleting this tax class.","Đã có lỗi xảy ra khi xóa loại thuế này."
"An error occurred while deleting this tax rule.","Đã có lỗi xảy ra khi xóa quy tắc thuế này."
"An error occurred while saving this tax class.","Lỗi khi lưu loại thuế này."
"An error occurred while saving this tax class. A class with the same name","Lỗi khi lưu loại thuế này. Cùng tên loại thuế"
"Apply Customer Tax","Áp dụng thuế khách hàng"
"Apply Discount On Prices","Áp dụng giảm giá bán"
"Apply Tax On","Áp dụng thuế vào"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Áp dụng giảm giá đã bao gồm thuế được tính căn cứ vào thuế cửa hàng, nếu """"Áp dụng thuế sau khi giảm giá"""" được chọn."
"Are you sure you want to do this?","Bạn có chắc muốn làm điều này?"
"Back","Quay lại"
"Before Discount","Trước khi giảm giá"
"CSV","CSV"
"Calculate off subtotal only","Tính giảm giá trên tổng giá trị"
"Calculation Settings","Thiết lập tính toán"
"Catalog Prices","Giá danh mục hàng"
"Class Name","Tên"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Nhấp chuột vào đây để đi đến <a href=""%s"">Cấu hình thuế</a> và thay đổi cài đặt của bạn."
"Code","Mã"
"Country","Quốc gia"
"Custom price if available","Tùy chỉnh giá nếu có"
"Customer Tax Class","Loại thuế áp dụng cho khách hàng"
"Customer Tax Class Information","Thông tin loại thuế khách hàng"
"Customer Tax Classes","Các loại thuế khách hàng"
"Default Country","Quốc gia mặc định"
"Default Post Code","Mã bưu chính mặc định"
"Default State","Tỉnh/Thành mặc định"
"Default Tax Destination Calculation","Điểm đến tính toán thuế mặc định"
"Delete Class","Xóa"
"Delete Rate","Xóa tỷ giá"
"Delete Rule","Xóa quy tắc"
"Display Full Tax Summary","Hiển thị đầy đủ thông tin thuế"
"Display Prices","Hiển thị giá"
"Display Product Prices In Catalog","Hiển thị giá sản phẩm trong danh mục hàng"
"Display Shipping Amount","Hiển thị số tiền vận chuyển"
"Display Shipping Prices","Hiển thị giá vận chuyển"
"Display Subtotal","Hiển thị tổng số"
"Display Zero Tax Subtotal","Hiển thị tổng số không có thuế"
"Edit Class","Sửa loại"
"Edit Class '%s'","Sửa loại '%s'"
"Edit Rule","Sửa quy tắc"
"Edit Tax Rate","Sửa thuế suất"
"Enable Cross Border Trade","Kích hoạt giao dịch xuyên quốc gia"
"Excel XML","Excel XML"
"Excl. Tax","Không bao gồm thuế"
"Excl. Tax:","Không bao gồm thuế:"
"Excluding Tax","Không bao gồm thuế"
"Export Tax Rates","Xuất thuế suất"
"Grand Total (Excl. Tax)","Tổng (Không bao gồm thuế)"
"Grand Total (Excl.Tax)","Tổng (Không bao gồm thuế)"
"Grand Total (Incl. Tax)","Tổng (Bao gồm thuế)"
"Grand Total (Incl.Tax)","Tổng (Bao gồm thuế)"
"Grand Total Excl. Tax","Tổng không bao gồm thuế"
"Grand Total Incl. Tax","Tổng bao gồm thuế"
"Ignore this notification","Bỏ qua thông báo này"
"Import / Export Tax Rates","Nhập/Xuất thuế suất"
"Import Tax Rates","Nhập thuế suất"
"Inc. Tax","Bao gồm thuế"
"Incl. Tax","Bao gồm thuế"
"Incl. Tax:","Bao gồm thuế:"
"Include Tax In Grand Total","Bao gồm thuế trong tổng tiền"
"Including Tax","Bao gồm thuế"
"Including and Excluding Tax","Bao gồm và không bao gồm thuế"
"Invalid file format upload attempt","Không thể tải lên tập tin có định dạng không được hỗ trợ"
"Invalid file upload attempt","Không thể tải lên tập tin"
"Manage Customer Tax Classes","Quản lý loại thuế khách hàng"
"Manage Product Tax Classes","Quản lý loại thuế sản phẩm"
"Manage Tax Rates","Quản lý thuế suất"
"Manage Tax Rules","Quản lý quy tắc thuế"
"Manage Tax Zones & Rates","Quản lý tỷ giá và vùng thuế"
"Maximum zip code length is 9.","Độ dài mã bưu chính tối đa là 9."
"Name","Tên";
"New Class","Loại mới"
"New Rule","Quy tắc mới"
"New Tax Rate","Thuế suất mới"
"No","Không"
"None","Không"
"One of the country has invalid code.","Một trong những nước có mã không đúng."
"Orders, Invoices, Credit Memos Display Settings","Cài đặt hiển thị Đơn hàng, Hóa đơn, Hoàn tiền"
"Original price only","Chỉ Giá gốc"
"Please fill all required fields with valid information.","Vui lòng điền tất cả các trường bắt buộc với thông tin chính xác."
"Please see <a href=""%s"">source</a> for more details.","Vui lòng xem <a href=""%s"">nguồn</a> để biết chi tiết."
"Price Display Settings","Cài đặt hiển thị giá"
"Priority","Ưu tiên"
"Product Tax Class","Loại thuế sản phẩm"
"Product Tax Class Information","Thông tin loại thuế sản phẩm"
"Product Tax Classes","Loại thuế sản phẩm"
"Range From","Phạm vi từ"
"Range To","Phạm vi đến"
"Range To should be equal or greater than Range From.","Phạm vi đến phải là giá trị bằng hoặc lớn hơn Phạm vi từ."
"Rate","Tỷ suất"
"Rate Percent","Phần trăm tỷ giá"
"Rate Percent should be a positive number.","Phần trăm tỷ giá là một số dương."
"Reset","Thiết lập lại"
"Row Total","Tổng số dòng"
"Sales","Bán hàng"
"Save Class","Lưu loại"
"Save Rate","Lưu tỷ giá"
"Save Rule","Lưu quy định"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Shipping & Handling (Excl.Tax)","Vận chuyển & xử lý (Không bao gồm thuế)"
"Shipping & Handling (Incl.Tax)","Vận chuyển & xử lý (Bao gồm thuế)"
"Shipping & Handling Tax","Thuế vận chuyển & xử lý"
"Shipping (Excl. Tax)","Vận chuyển (Không bao gồm thuế)"
"Shipping (Incl. Tax)","Vận chuyển (Bao gồm thuế)"
"Shipping Excl. Tax (%s)","Vận chuyển không bao gồm thuế (%s)"
"Shipping Incl. Tax (%s)","Vận chuyển bao gồm thuế (%s)"
"Shipping Prices","Giá vận chuyển"
"Shopping Cart Display Settings","Cài đặt hiển thị giỏ hàng"
"Sort Order","Sắp xếp đơn hàng"
"State","Vùng"
"State/Region","Tỉnh/Thành"
"Subtotal (Excl. Tax)","Tổng (Không bao gồm thuế)"
"Subtotal (Excl.Tax)","Tổng (Không bao gồm thuế)"
"Subtotal (Incl. Tax)","Tổng (Bao gồm thuế)"
"Subtotal (Incl.Tax)","Tổng (Bao gồm thuế)"
"Subtotal only","Tổng"
"Tax","Thuế"
"Tax Calculation Based On","Tính toán thuế dựa vào"
"Tax Calculation Method Based On","Phương pháp tính toán thuế dựa vào"
"Tax Class for Shipping","Loại thuế cho vận chuyển"
"Tax Classes","Loại thuế"
"Tax Identifier","Tên thuế"
"Tax Rate","Thuế suất"
"Tax Rate Information","Thông tin thuế suất"
"Tax Rule Information","Thông tin quy tắc thuế"
"Tax Rules","Quy tắc thuế"
"Tax Section","Mục thuế"
"Tax Titles","Tiêu đề thuế"
"Tax rate cannot be removed. It exists in tax rule","Thuế suất không thể loại bỏ. Nó tồn tại trong quy tắc thuế"
"Tax rates at the same priority are added, others are compounded.","Tỷ giá thuế mức ưu tiên được thêm vào, loại khác sẽ phức tạp hơn."
"The tax class has been deleted.","Loại thuế đã được xóa."
"The tax class has been saved.","Loại thuế đã được lưu."
"The tax rate has been deleted.","Thuế suất đã được xóa."
"The tax rate has been imported.","Thuế suất đã được nhập."
"The tax rate has been saved.","Thuế suất đã được lưu."
"The tax rule has been deleted.","Quy tắc thuế đã được xóa."
"This class no longer exists","Loại này không tồn tại"
"This rule no longer exists","Quy tắc này không tồn tại"
"This rule no longer exists.","Quy tắc này không tồn tại."
"Total","Tổng"
"Unit Price","Đơn vị giá"
"Warning tax configuration can result in rounding errors","Cảnh báo cấu hình thuế có thể dẫn đến lỗi làm tròn."
"Warning tax configuration can result in unexpected FPT prices on applicable devices","Cảnh báo cấu hình thuế có thể dẫn đến giá FPT không mong muốn trên các thiết bị áp dụng"
"Warning tax discount configuration might result in different discounts than a customer might expect","Cảnh báo cấu hình giảm giá thuế có thể dẫn đến mức giảm giá khác với khách hàng mong đợi"
"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.","Khi giá theo danh mục gồm cả thuế, kích hoạt thiết lập này sẽ cố định giá cho dù tỉ giá thuế của khách hàng này là bao nhiêu."
"Whether catalog prices entered by admin include tax.","Giá theo danh mục hàng thêm vào bởi admin bao gồm cả thuế."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Số tiền vận chuyển thêm vào bởi admin hoặc nhận từ cổng thanh toán bao gồm thuế."
"Yes","Có"
"You cannot delete this tax class as it is used for %d customer groups.","Bạn không thể xóa loại thuế này vì nó được sử dụng cho %d nhóm khách hàng."
"You cannot delete this tax class as it is used for %d products.","Bạn không thể xóa loại thuế này vì nó được sử dụng cho %d sản phẩm."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Bạn không thể xóa loại thuế này vì nó được sử dụng ctrong quy định thuế. Bạn cần phải xóa các quy định nó được sử dụng đầu tiên."
