"All Websites","Tất cả Website"
"Apply Discounts To FPT","Áp dụng giảm giá cho FPT"
"Display Prices In Emails","Hiển thị giá trong email"
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"
"Display Prices In Sales Modules","Hiển thị giá trong mô-đun bán hàng"
"Display Prices On Product View Page","Hiển thị giá trên trang xem sản phẩm"
"Enable FPT","Kích hoạt FPT"
"Excluding FPT","Không bao gồm FPT"
"Excluding FPT, FPT description, final price","Không bao gồm FPT, mô tả FPT, giá bán"
"FPT Tax Configuration","Cấu hình thuế FPT"
"Fixed Product Tax","Thuế sản phẩm cố định (FPT)"
"Fixed Product Taxes","Thuế sản phẩm cố dịnh"
"Include FPT In Subtotal","Bao gồm FPT trong tổng số phụ"
"Including FPT and FPT description","Bao gồm FPT và mô tả FPT"
"Including FPT and FPT description [incl. FPT VAT]","Bao gồm FPT và mô tả FPT [bao gồm thuế GTGT FPT]"
"Including FPT only","Chỉ bao gồm FPT"
"Loaded and Displayed with Tax","Tải và hiển thị cùng thuế"
"Not Taxed","Không tính thuế"
"Taxed","Đã tính thuế"
"Total","Tổng"
"Total Incl. Tax","Tổng bao gồm thuế"
"Total excl. tax","Tổng không bao gồm thuế"
"Total incl. tax","Tổng bao gồm thuế"
