"%s","%s"
"-- Please Select --","-- Vui lòng chọn --"
"Actions","Thao tác"
"Add Layout Update","Thêm cập nhật giao diện"
"Add New Widget Instance","Thêm Widget mới"
"All","Tât cả"
"All Pages","Tất cả các trang"
"All Product Types","Tất cả loại sản phẩm"
"An error occurred during saving a widget: %s","Lỗi xảy ra khi lưu widget này: %s"
"Anchor Categories","Anchor Categories"
"Apply","Áp dụng"
"Assign to Store Views","Gán cho Cửa hàng"
"Big Image","Ảnh lớn"
"Block Reference","Khối tham khảo"
"CMS","CMS"
"Categories","Nhóm sản phẩm"
"Choose...","Lựa chọn..."
"Close","Đóng"
"Continue","Tiếp tục"
"Default Template","Mẫu mặc định"
"Delete","Xóa"
"Design Package/Theme","Thiết kế gói/Theme"
"Error occurs during loading chooser.","Lỗi xảy ra khi tải lựa chọn này."
"Export to:","Xuất ra:"
"Frontend Properties","Thuộc tính Frontend"
"Generic Pages","Trang tổng quát"
"Go to Next page","Tới trang tiếp theo"
"Go to Previous page","Trở về trang trước"
"Images","Hình ảnh"
"Insert Widget","Thêm Widget"
"Layout Updates","Cập nhật giao diện"
"Manage Widget Instances","Quản lý Widget"
"New Instance","Hiển thị mới"
"New Widget Instance","Widget mới"
"Next page","Trang tiếp theo"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Không chọn"
"Open Chooser","Mở trình chọn"
"Page","Trang"
"Please Select Block Reference First","Vui lòng chọn khối tham chiếu đầu tiên"
"Previous page","Trang trước"
"Products","Sản phẩm"
"Remove Layout Update","Xóa giao diện cập nhật"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Select All","Chọn tất cả"
"Select Visible","Chọn hiển thị"""
"Settings","Cài đặt"
"Sort Order","Sắp xếp thứ tự"
"Sort Order of widget instances in the same block reference","Sắp xếp thứ tự các trường hợp widget trong cùng khối tham chiếu"
"Specific %s","%s Cụ thể"
"Specified Page","Trang cụ thể"
"Template","Mẫu"
"The information in this tab has been changed.","Các thông tin trong tab này đã được thay đổi."
"The widget instance has been deleted.","Thể hiện widget đã được xóa."
"The widget instance has been saved.","Thể hiện widget đã được lưu."
"This tab contains invalid data. Please solve the problem before saving.","Tab này có chứa dữ liệu không đúng. Hãy giải quyết vấn đề trước khi lưu."
"Thumbnail","Hình thu nhỏ"
"Total %d records found","Tổng %d bản ghi được tìm thấy"
"Type","Loại"
"Unselect All","Bỏ chọn tất cả"
"Unselect Visible","Bỏ chọn hiển thị"
"View","Xem"
"Widget","Widget"
"Widget ""%s"","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Thêm Widget"
"Widget Instance","Mẫu Widget"
"Widget Instance Title","Tiêu đề mẫu Widget"
"Widget Options","Tùy chọn Widget"
"Widget Type","Loại Widget"
"Widget Type is not specified","Loại Widget không được chỉ định"
"Widget instance is not full complete to create.","Thể hiện Widget không đầy đủ để tạo ra."
"Widgets","Widgets"
"Wrong widget instance specified.","Thể hiện Widget sai quy định."
"items selected","mục được chọn"
"of %s pages","của %s trang"
"per page","mỗi trang"
