" But cart has some errors."," Nhưng giỏ hàng có một số lỗi."
" Note: Image size affects the performance of your app."," Chú ý: Kích thước ảnh sẽ ảnh hưởng tới hoạt động ứng dụng của bạn."
"""Description"" is more than %d characters long","""Mô tả sản phẩm"" dài hơn %d ký tự ""
"""Title"" is more than %d characters long","""Tiêu đề"" dài hơn %d ký tự"
"""id"" attribute is required for a ""%s"" field.","Thuộc tính ""ID"" là bắt buộc trong trường ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","Thuộc tính ""đếm dòng"" là bắt buộc cho yếu tố ""nhiều dòng""."
"""message"" attribute is required for ""%s"" validator rule.","Thuộc tính ""tin nhắn"" là bắt buộc cho nguyên tắc xác nhận ""%s""."
"%1$s has been added to your wishlist.","%1$s đã được thêm vào danh sách thích của bạn."
"%1$s incl tax.","%1$s bao gồm thuế."
"%@ is not correct","%@ không đúng"
"%s API Key required.","Yêu cầu mã API %s ."
"%s Application ID required.","Yêu cầu áp dụng ID %s."
"%s Secret Key required.","Yêu cầu Secret Key %s"
"%s attribute is required.","Thuộc tính %s là bắt buộc."
"%s fields is required","Trường %s là bắt buộc"
"%s has been added to your cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s đã được cập nhật trong giỏ hàng của bạn."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Gồm nhiều nước khác ngoài các nước được liệt kê dưới đây. Là chủ sở hữu ứng dụng, bạn có trách nhiệm tuân thủ pháp luật của chính quốc gia bạn sống, cụ thể liên quan đến việc phân phối hoặc bán ứng dụng của bạn cho quốc gia này và cả quốc gia của bạn.)"
"* - field is required","* - trường bắt buộc"
"*Subject to change","*Đối tượng thay đổi"
"1. Please select type of the action:","1. Vui lòng chọn thao tác:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Vui lòng chọn trang"
"2. Type Category Name","2. Tên loại mặt hàng"
"2. Type Product Name","2. Tên sản phẩm"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Đăng nhập</a> vào Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Một ứng dụng chỉ chứa danh mục (Catalog Only App) sẽ không hỗ trợ những chức năng như chọn mua, thêm vào danh sách thích hoặc đăng nhập."
"A new password has been sent.","Mật khẩu mới đã được gửi đi."
"About","Về"
"Access forbidden","Truy cập không cho phép"
"Account","Tài khoản"
"Account Information","Thông tin tài khoản"
"Account Settings","Cài đặt tài khoản"
"Account confirmation is required. Please check your email for the confirmation link.","Yêu cầu xác nhận tài khoản. Vui lòng kiểm tra email của bạn với liên kết xác thực."
