"District Information","Thông tin Quận/Huyện"
"Country","Quốc gia"
"Region","Tỉnh/Thành"
"Code","Mã"
"Default Name","Tên mặc định"
"Save District","Lưu Quận/Huyện"
"Delete District","Xóa Quận/Huyện"
"Save And Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Edit District ","Chỉnh sửa Quận/Huyện "
"Add District","Thêm Quận/Huyện"
"code","mã"
"ID","ID"
"Country Code","Mã Quốc gia"
"District Code","Mã Quận/Huyện"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"CSV","CSV"
"XML","XML"
"Delete","Xóa"
"Are you sure?","Bạn chắc chắn chứ?"
"Import District","Nhập Quận/Huyện"
"Import File","Nhập tệp tin"
"Download Sample CSV File","Tải tệp tin CSV mẫu"
"Import","Nhập"
"District Manager","Quản lý Quận/Huyện"
"Import Districts","Nhập Quận/Huyện"
"Region information","Thông tin Tỉnh/Thành"
"Locale ","Quốc gia "
"Name","Tên"
"Region Information","Thông tin Tỉnh/Thành"
"Save Region","Lưu Tỉnh/Thành"
"Delete Region","Xóa Tỉnh/Thành"
"Edit Region ","Chỉnh sửa Tỉnh/Thành "
"Add Region","Thêm Tỉnh/Thành"
"Region Code","Mã Tỉnh/Thành"
"Name in Locale","Tên tại Quốc gia"
"Import Region","Nhập Tỉnh/Thành"
"Region Manager","Quản lý Tỉnh/Thành"
"Import Regions","Nhập Tỉnh/Thành"
"Enabled","Kích hoạt"
"Disabled","Vô hiệu"
"District Manager","Quản lý Quận/Huyện"
"District News","Tin tức về Quận/Huyện"
"District does not exist","Quận/Huyện không tồn tại"
"District was successfully saved","Quận/Huyện được lưu thành công"
"Unable to find region to save","Không thể tìm thấy Tỉnh/Thành để lưu"
"District was successfully deleted","Quận/Huyện đã được xóa thành công"
"Please Select","Vui lòng chọn"
"Please Create Region for this country!","Vui lòng tạo Tỉnh/Thành cho quốc gia này!"
"invalid files","Tệp tin không có giá trị"
"No uploaded files","Không có tệp tin nào được tải lên"
"Region Manager","Quản lý Tỉnh/Thành"
"Region News","Tin tức về Tỉnh/Thành"
"Region does not exist","Tỉnh/Thành không tồn tại"
"Region was successfully saved","Tỉnh/Thành đã được lưu thành công"
"Region was successfully deleted","Tỉnh/Thành đã được xóa thành công"
"Manage Region","Quản lý khu vực"
"Manage District","Quản lý Quận/Huyện"
"Settings","Cài đặt"
"Allow Everything","Cho phép toàn bộ"
"Magestore Extension","Magestore Extension"
"Region Manager","Quản lý khu vực"
"General Configuration","Cài đặt chung"
"Enable","Kích hoạt"
"Region Manager Module Template","Mẫu module Quản lý khu vực"
