"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Tất cả các thẻ tín dụng / Visa, Mastercard, AMEX, JCB, Diners (được cung cấp bởi Moneybookers) - Quốc tế"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (được cung cấp bởi Moneybookers) - Ý"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (được cung cấp bởi Moneybookers) - Pháp"
"Customer ID","ID khách hàng"
"Dankort (powered by Moneybookers) - Denmark","Dankort (được cung cấp bởi Moneybookers) - Đan Mạch"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (được cung cấp bởi Moneybookers) - Úc"
"Enabled","Kích hoạt"
"Find out more about Online Bank Transfer","Tìm hiểu thêm về chuyển giao Ngân hàng trực tuyến"
"Giropay (powered by Moneybookers) - Germany","Giropay (pđược cung cấp bởi Moneybookers) - Đức"
"Laser (powered by Moneybookers) - Ireland","Laser (được cung cấp bởi Moneybookers) - Ireland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (được cung cấp bởi Moneybookers) - Đức"
"Loading secure payment page (SSL)","Loading secure payment page (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (được cung cấp bởi Moneybookers) - Anh, Úc, Tây Ban Nha"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Thiết lập Moneybookers"
"Moneybookers Transaction ID: %s","Giao dịch ID Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Thêm thông tin về Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (được cung cấp bởi Moneybookers) - Phần Lan"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (pđược cung cấp bởi Moneybookers) - Thụy Điển"
"Online Bank Transfer (powered by Moneybookers)","Chuyển khoản trực tuyến (được cung cấp bởi Moneybookers)"
"Order ID","ID đơn hàng"
"POLi (powered by Moneybookers) - Australia","POLi (được cung cấp bởi Moneybookers) - Úc"
"Payment failed.","Thanh toán không thành công."
"Payment from Applicable Countries","Thanh toán từ các quốc gia đang được áp dụng"
"Payment from Specific Countries","Thanh toán từ các nước cụ thể"
"Payment has not been processed yet.","Thanh toán chưa được xử lý."
"Payment was canceled.","Thanh toán đã bị hủy."
"Pending bank transfer created.","Chờ chuyển khoản."
"Please pay your order now","Hãy thanh toán đơn hàng của bạn ngay bây giờ"
"Postepay (powered by Moneybookers) - Italy","Postepay ( được cung cấp bởi Moneybookers) - Ý"
"Powered by Moneybookers","Được cung cấp bởi Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (được cung cấp bởi Moneybookers) - Ba Lan"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (được cung cấp bởi Moneybookers) - Đức"
"Sort Order","Sắp xếp đơn hàng"
"The amount has been authorized and captured by Moneybookers.","Số tiền đã được cho phép và xác định bởi Moneybookers."
"The customer was redirected to Moneybookers.","Các khách hàng đã được chuyển hướng đến Moneybookers."
"The order has been canceled.","Đơn hàng đã bị hủy."
"Title","Tiêu đề"
"You will be redirected to our secure payment page when you place an order.","Bạn sẽ được chuyển đến trang thanh toán an toàn khi bạn đặt hàng."
"eNETS (powered by Moneybookers) - Singapore","eNETS (được cung cấp bởi Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (được cung cấp bởi Moneybookers) - Hà Lan"
